text,label,type,has_url,source
[Web발신] [건강지키미] 12월 13일 휴면회원전환예정 https://www.baemin.me/h5ivDR,normal,기타정상,True,original
[Web발신] [신한은행] 2차 소비쿠폰 11/29 19:28 쌍용스토아신부점 사용 107만 원 잔여 740원,normal,기타정상,False,original
"[Web발신] [2차(민사소송)검토대상 통보] 000님 1,589원 /우리은행 (계좌번호) - 갤럭시아",phishing,금융기관사칭,False,original
(광고)[배달의민족] 미확인 보상 안내 [Web발신] (광고)[배달의민족] 고객님은 [1만원 쿠폰] 수령 대상자입니다. 소멸 전 보상 확인 부탁드립니다. - 주문시 즉시 적용 가능 1만원 쿠폰 확인▼ https://www.toss.im/2ZHNO9 무료수신거부 : 0808880219,normal,기타정상,True,original
[민생회복 소비쿠폰 안내] 신청 대상자에게 상담원이 곧 연락드립니다. 신청을 원할 경우 원격 도우미 앱을 먼저 설치해 주세요. [https://n.bnuee.cyou/K1Ilv,phishing,기타피싱,True,original
한국인 여행객들 사이에서 울란바토르를 몽탄신도시라 부른대.,normal,일상대화,False,original
"[CJ금융감독원] [Web발신][CJ금융감독원_배송출발] 반갑습니다, 고객님. 고객님의 소중한 상품이 배송 예정입니다. · 보내는분 : (주)에이치앤에프 · 상품명 : 가나디 복조리 파우치 (귀여운/휴대용/다용도파우치/생일) · 배송예정시간 : 17-19시 ※ 위탁장소 선택, 실시간 배송정보 https://www.kakaobank.com/TkoAdr ※ 무인락커 사용안내 https://www.gov.kr/OZvxXG 일요일에도 신속하게!! 언제든,어디서든,무엇이든 확인할 건 오네(O-NE)!",normal,기타정상,True,original
[대한]송장번호]5706*********67]/주소불일치 로물품보관 중 입니다 [https://appsiz.cfd/up2t7,phishing,택배배송사칭,True,original
[대한]송장번호]5706*********67]/주소불일치 로물품보관 중 입니다 [https://bit.ly/Vk3Cp,phishing,택배배송사칭,True,original
"[Web발신] 기회를 놓치지 마세요, 시간이 다시 오지 않습니다! 다음 급등주를 잡고 싶으신가요? 우리 주식 채팅방에 빨리 가입하세요! 전문가 팀이 실시간으로 시장동향과 종목 선택 기술을 공유하여 투자에 큰 도움을 드립니다! 한정된 시간 동안 활동 보상: 쇼핑 쿠폰, 현금, 전자 제품 등, 선착순으로 제공됩니다! 기회를 놓치지 마세요, 지금 바로 가입히세요! 텔레그램 링크 https://appsiz.cfd/LaQTr",phishing,금융기관사칭,True,original
[천안서울안과] [Web발신] 000님의 생일을 진심으로 축하드립니다. 항상 즐겁고 행복한 시간 보내시긴 바랍니다. 천안서울안과,normal,기타정상,False,original
장난이 아니구나. 이렇게 갑자기 유행하는 이유가 뭐지?,normal,일상대화,False,original
[국세청][환급내역안내] 종합소득세 환급대상자입니다. 금액을 확인하시고 수령하세요. (https://Oa.SK/D7a8E,phishing,정부공공기관사칭,True,original
"[Web발신] [소모임] 어플 장기 미방문으로, 가입시 작성한 개인정보는 30일 후 휴면전환",normal,기타정상,False,original
"[Web발신] [2026 하계방학 로보시지 인턴십 참여 학생 모집] SW학과 3~4학년 재학생 대상 로보시지 인턴십 참여자를 모집합니다! -기업명: 로보시지(서울시 구로구) -모집인원: 3명 -직무: 로봇 어플리케이션 개발 / Physical AI 개발 -활동기간: 7. 6.(월) ~ 8. 21.(금) (7주) -혜택: 학교지원금(약 84만원) + 기업지원금(20만원), 비교과 50P, 수료증 발급 *신청기간: ~ 6. 29.(월) 공지사항 https://www.gov.kr/J86WfK 문의: SW중심대학사업단(02-760-8049)",normal,기타정상,True,original
삼가알려드립니다.부친께서 금일 별세 하셨습니다.장례식장https://div.bnuy.my/D8KYJ,phishing,기타피싱,True,original
"[Web발신] mini카드 유효기간 만료 자동 해지 안내 [토스뱅크] 김*아님, mini카드(4335)의 유효기간이 2025년 10월 만료되어 자동으로 해지되었습니다. ※ 유의사항 - 선불 티머니 잔액 환불 받으려면?: https://www.hansung.ac.kr/f4Uqzk - 반드시 카드 실물이 있어야 티머니 잔액 환불이 가능하며, 카드를 폐기하시면 티머니 정책에 따라 잔액 환불이 불가합니다. - 티머니 잔액 환불 및 이전, 선불충전금 보호조치 등 상세 내용은 티머니 고객센터(1644-0088)로 문의하여 주시기 바랍니다.",normal,기타정상,True,original
