sample_id,split,label,label_id,parent_call_id,source_id,source_dataset,source_audio_path,audio_path,start_sec,end_sec,duration_sec,text,qa_status,qa_flags,is_augmented,augmentation,call_type,original_sample_id,original_split
train_normal_00001,train,normal,0,D60_J91_S00000448,D60_J91_S00000448_seg001,aihub,data\normal_aihub\prepared_diverse\audio\D60_J91_S00000448\D60_J91_S00000448_seg001.wav,audio/normal/train_normal_00001.wav,0.0,15.011,15.011,네. 고객님 중앙교육의 이진혁 상담원입니다. 안녕하세요 결제 때문에 전화드렸어요. 분당 살때 중앙교육 학습지 몇 년 했었고요. 지금은 학습지 이용 안하고 있거든요. 그리고 저희 서초로 이사도 했고요.,SOURCE_TEXT,,False,,D60_J91,normal_source_00024,unassigned
train_normal_00002,train,normal,0,D60_J91_S00000532,D60_J91_S00000532_seg003,aihub,data\normal_aihub\prepared_diverse\audio\D60_J91_S00000532\D60_J91_S00000532_seg003.wav,audio/normal/train_normal_00002.wav,0.0,15.68,15.68,"n/ 네, 알아본 결과 학습 종료가* 안된 걸로 나와있습니다. n/ 학습이 종료가 안 (됐다고요)/(됐다구요)? b/ 저희 저번에 분명히 끝내고 이사까지 했는데요? n/ 죄송합니다. n/ b/ 선생님하고 어떻게 이야기됐길래 학습 종료가 안 돼요? n/ b/ 알아보고 처리해 드리겠습니다.",SOURCE_TEXT,,False,,D60_J91,normal_source_00047,unassigned
train_normal_00003,train,normal,0,D60_J91_S00000553,D60_J91_S00000553_seg003,aihub,data\normal_aihub\prepared_diverse\audio\D60_J91_S00000553\D60_J91_S00000553_seg003.wav,audio/normal/train_normal_00003.wav,0.0,15.677,15.677,"아/ 네, 알아본 결과 학습 종료가 아직 안 된 걸로 나와있습니다. 학습이 종료가 안됐다구요? 저희 저번에 분명히 끝내고 이사까지 했는데요? 아/ 죄송합니다. 선생님하고 어떻게 이야기가 됐길래 학습 종료가 안 돼요? 아/ 알아보고 네, 처리해 드리겠습니다.",SOURCE_TEXT,,False,,D60_J91,normal_source_00069,unassigned
train_normal_00004,train,normal,0,D60_J91_S00000585,D60_J91_S00000585_seg001,aihub,data\normal_aihub\prepared_diverse\audio\D60_J91_S00000585\D60_J91_S00000585_seg001.wav,audio/normal/train_normal_00004.wav,0.0,15.702,15.702,"안녕하세요, 고객님. 레벨업 학습지에 이현서 상담원입니다. 어떤 일로 전화 주셨을까요? n/ 안녕하세요? 올해(1월)/(일 월)부터 학습지 등록한 오수 엄마인데요. 학습 관련으로 문의 드릴 게 있어서 전화드렸어요. 선생님이 원래 이렇게 자주 바뀌나요?",SOURCE_TEXT,,False,,D60_J91,normal_source_00077,unassigned
train_normal_00005,train,normal,0,D60_J91_S00000585,D60_J91_S00000585_seg006,aihub,data\normal_aihub\prepared_diverse\audio\D60_J91_S00000585\D60_J91_S00000585_seg006.wav,audio/normal/train_normal_00005.wav,0.0,16.715,16.715,죄송합니다. 선생님이 자주 바뀔 거면 아이가 뭘 얼마나 학습했는지 공유가 되어야지. 아무 정보도 안 넘어간 것 같더라고요. n/ 이번에 그만두신 전 선생님도 첫날에 아이한테 어디까지 배웠는지 물어보더라고요. 그건 회사 측에서 공유가 되어야 하는 부분 아닌가요?,SOURCE_TEXT,,False,,D60_J91,normal_source_00082,unassigned
train_normal_00006,train,normal,0,D60_J91_S00000599,D60_J91_S00000599_seg001,aihub,data\normal_aihub\prepared_diverse\audio\D60_J91_S00000599\D60_J91_S00000599_seg001.wav,audio/normal/train_normal_00006.wav,0.0,15.385,15.385,"n/ 네, 고객님, 중앙교육의 이진혁 상담원입니다. n/ 안녕하세요. 결제 때문에 전화드렸어요. n/ 분당 살 때 중앙교육 학습지 몇 년 했었고요. 지금은 학습지 이용 안 하고 있거든요. 그럼 그리고 저희 서초 이사도 했고요.",SOURCE_TEXT,,False,,D60_J91,normal_source_00089,unassigned
train_normal_00007,train,normal,0,D60_J91_S00000599,D60_J91_S00000599_seg007,aihub,data\normal_aihub\prepared_diverse\audio\D60_J91_S00000599\D60_J91_S00000599_seg007.wav,audio/normal/train_normal_00007.wav,0.0,16.418,16.418,n/ 그러면 이거 어떻게 처리해줄 (거예요)/(거에요)? n/ 저희는 지금 당장 학습 종료해주시고요. n/ 저희 결제된 금액 환불 처리해줬으면 좋겠어요. n/ 저희 이사 오고 나고+ 나서 바로는 결제 안 됐어요. 그러고 한 달 지나서 갑자기 결제되는 거 좀 이상하지 않나요?,SOURCE_TEXT,,False,,D60_J91,normal_source_00095,unassigned
train_normal_00008,train,normal,0,D60_J91_S00000637,D60_J91_S00000637_seg006,aihub,data\normal_aihub\prepared_diverse\audio\D60_J91_S00000637\D60_J91_S00000637_seg006.wav,audio/normal/train_normal_00008.wav,0.0,15.288,15.288,"한 번 이해하고 넘어갔으면 좀 더 조심해줘야 되는 거 아닌가요? 그렇습니다. (그러면)/(그러믄) 이거 어떻게 처리해줄 (거예요)/(거에요)? 저는 지금 당장 학습 종료도 해주시고요, 저희 결제된 금액 환불 처리해줬으면 좋겠어요. 저희 이사 오고 나서 바로는 결제가 안 됐어요.",SOURCE_TEXT,,False,,D60_J91,normal_source_00127,unassigned
train_normal_00009,train,normal,0,D60_J91_S00000637,D60_J91_S00000637_seg002,aihub,data\normal_aihub\prepared_diverse\audio\D60_J91_S00000637\D60_J91_S00000637_seg002.wav,audio/normal/train_normal_00009.wav,0.0,17.538,17.538,"저희 지금 여기 학습지 이용을 안하고+ 안 하고 있어요. 어떻게 된 건가요? 알아보겠습니다. 네, 빨리 알아봐 주세요. 그때 분명히 선생님하고도 잘 인사했고 마치고 끝냈는데, 갑자기 결제 문자 와서 놀랐거든요. 네, 알아본 결과 학습 종료가 안된 걸로 나와있습니다.",SOURCE_TEXT,,False,,D60_J91,normal_source_00123,unassigned
train_normal_00010,train,normal,0,D60_J91_S00000684,D60_J91_S00000684_seg002,aihub,data\normal_aihub\prepared_diverse\audio\D60_J91_S00000684\D60_J91_S00000684_seg002.wav,audio/normal/train_normal_00010.wav,0.0,15.673,15.673,"n/ 알아보겠습니다. n/ 네, 빨리 알아봐 주세요. 그때 분명히 (선생님)/(슨생님)하고는 잘 인사했고, 마치고 끝냈는데 갑자기 이것 때문에 이제 와서 놀랐거든요. n/ 네, 알아본 결과 학습 종료가 안된 걸로 나와있습니다. 학습이 종료가 안 됐다고요? 저희 저번에 분명히 끝내고 이사까지 했는데요. n/ 죄송합니다.",SOURCE_TEXT,,False,,D60_J91,normal_source_00169,unassigned
